id,area_id,score,created_at,updated_at
00536572-e6a0-482e-a59c-ec2f803fbb89,c713f609-e209-4df6-b668-36a2f727183f,3,2025-04-14 08:06:20.481,2025-04-14 08:06:20.481
00850e16-95e2-479b-a188-a2638feefcd3,fe6c48ad-8480-4a51-94eb-2bcb9dc5398f,3,2025-04-14 08:06:16.99,2025-04-14 08:06:16.99
012ab47e-b3fc-40b3-b3da-3399910d9471,e40475e5-9232-4529-aa9b-c879fca8a3f7,3,2025-04-14 08:06:17.283,2025-04-14 08:06:17.283
044d9a2d-5f9f-49a1-9fde-60709134669a,5c9a4e64-e29a-4e94-a55c-707956704cfe,3,2025-04-14 08:06:19.264,2025-04-14 08:06:19.264
052927b0-7600-42d1-af77-f75405e8d4bf,c0420ecd-5f3b-498b-8c50-faa2d16c98e3,3,2025-04-14 08:06:19.871,2025-04-14 08:06:19.871
0750c4af-8980-40ce-9832-d887a1aefd98,566f6812-4588-47c5-a655-5725fb24212f,3,2025-04-14 08:06:16.011,2025-04-14 08:06:16.011
079f243e-22a2-41a1-befb-ba5a71b190b5,dc9c7b47-1334-47e5-8e08-999e59762399,1,2025-04-14 08:06:18.765,2025-04-14 08:06:18.765
095b41c7-3ecb-4067-b9b9-d2c5d829c91e,8a50a81c-9956-44c4-836e-30f1bf7bf142,3,2025-04-14 08:06:18.133,2025-04-14 08:06:18.133
0989e36f-6a17-4309-8f8f-7f48bb77d6d2,7686e74f-443f-4e6d-a2d2-93ebc12a0dcb,3,2025-04-14 08:06:20.312,2025-04-14 08:06:20.312
0a948aee-f90e-49bf-a441-8e7937ef7125,ec4decb6-f21c-4f16-8abb-2a05ab8779c2,3,2025-04-14 08:06:16.011,2025-04-14 08:06:16.011
0b588c38-5476-4bd8-af28-5ce9a8b7c179,49f7e1c2-5c64-4230-bf50-e8de274d43be,3,2025-04-14 08:06:17.856,2025-04-14 08:06:17.856
0bccf30f-3d57-43b1-a3a5-18f496b83c21,5ebd3a3b-33fd-40c0-bb41-a918f8512e08,3,2025-04-14 08:06:16.753,2025-04-14 08:06:16.753
0c21b3b9-7f51-49a1-96ae-f539bf9a0b37,63343f55-1ec3-4c27-8b2a-769ef8ee9d1c,3,2025-04-14 08:06:18.765,2025-04-14 08:06:18.765
0c3a95e2-de76-4cd6-af81-60d2567636a0,2f0ac757-87c0-4202-9ea7-30df2d3de994,3,2025-04-14 08:06:18.338,2025-04-14 08:06:18.338
0e0d691e-8207-4bd9-947b-be2df676314b,9bd4fbeb-865c-4507-ab73-0ae2729c9030,3,2025-04-14 08:06:18.765,2025-04-14 08:06:18.765
0e80017a-2380-4c28-8a9f-e8f24f8f12c8,e6e9fba3-97c2-453b-a509-66e4ac0f34a7,3,2025-04-14 08:06:18.511,2025-04-14 08:06:18.511
0ef64a94-ea34-4346-8134-e70337b195ee,fd19ce22-14b8-46d9-9a14-1820cd0e9ecf,3,2025-04-14 08:06:19.22,2025-04-14 08:06:19.22
0f1ff64f-ea00-46d0-82a4-1f6569a93598,b2d263b2-6b10-4746-8f96-7a7876b44db0,3,2025-04-14 08:06:18.511,2025-04-14 08:06:18.511
11ffc758-caf5-4806-b517-e93ccfaa7384,910d40cb-72fe-4605-90f8-87a78b8b1885,2,2025-04-14 08:06:16.021,2025-04-14 08:06:16.021
14b7ad08-e327-460b-9224-9b9a08b99c64,c1781897-7143-4e5b-9bfa-4570d53aff44,3,2025-04-14 08:06:20.058,2025-04-14 08:06:20.058
155ed5fa-89ca-4480-ba18-e28f08a8f6f6,24975bbc-ed11-422a-ad07-924b80e42c4e,3,2025-04-14 08:06:17.375,2025-04-14 08:06:17.375
15a777d7-fbc8-4c0b-a54c-560518e652ca,8ab09d47-0937-43f8-afbe-31ccf7d45142,3,2025-04-14 08:06:16.207,2025-04-14 08:06:16.207
1622215c-a6dd-495e-a546-99a8aab587b0,6671cc18-2c81-410c-94cf-f4cd4be728e3,3,2025-04-14 08:06:16.747,2025-04-14 08:06:16.747
186458ca-1a94-4089-b332-8fe45a7f7ff0,a605fd7b-6263-4555-a7ca-68486f7dfdd3,3,2025-04-14 08:06:20.425,2025-04-14 08:06:20.425
1875bbea-ba00-4525-9fdf-13760af90d4e,f1576c25-affa-4d65-9357-836d62b3bdfa,3,2025-04-14 08:06:19.263,2025-04-14 08:06:19.263
19223f60-c2b8-4350-907f-0be4aeab0ae8,9448cec0-c704-4d33-8653-20fd9bc0d45b,3,2025-04-14 08:06:16.402,2025-04-14 08:06:16.402
