name,lat,lon
Elder 1,-6.281694264773283,106.82773545793789
Elder 2,-6.22572346348331,106.80426980635478
Elder 3,-6.294841721832717,106.91574750183038
Elder 4,-6.163601939688183,106.82135066533871
Elder 5,-6.2611830027599975,106.80618690193748
Elder 6,-6.200621657346903,106.85853921663166
Elder 7,-6.253243338586588,106.77818484499495
Elder 8,-6.221989796823329,106.9104393961508
Elder 9,-6.217993458098508,106.76491012873595
Elder 10,-6.272271831671171,106.9473773873201
Elder 11,-6.1545623058353165,106.90444895385933
Elder 12,-6.183730076495833,106.78974313630684
Elder 13,-6.159075158765372,106.75110442342472
Elder 14,-6.165775897435853,106.91309228569096
Elder 15,-6.210315003178337,106.89137146876952
Elder 16,-6.161718864746533,106.8958014336082
Elder 17,-6.286726124692212,106.90425406933718
Elder 18,-6.270602570637128,106.76480893034682
Elder 19,-6.293215906663419,106.82169314570885
Elder 20,-6.25120045038551,106.77317381190502
