name,lat,lon
Student_1,-6.275091976230527,106.94391692555291
Student_2,-6.159857138718017,106.90502656467223
Student_3,-6.203601211637719,106.93789978831283
Student_4,-6.230268303160592,106.92896547008553
Student_5,-6.318796271911513,106.86957999576222
Student_6,-6.318801095932759,106.93437484700462
Student_7,-6.3383832775663596,106.76769850041039
Student_8,-6.176764770845013,106.78919657248383
Student_9,-6.229776997651358,106.75904545778211
Student_10,-6.208385484440791,106.81506606615265
Student_11,-6.345883101140839,106.82773545793789
Student_12,-6.156018029567601,106.80426980635478
Student_13,-6.183511471839916,106.91574750183038
Student_14,-6.307532177864345,106.82135066533871
Student_15,-6.31363500655858,106.80618690193748
Student_16,-6.313319098029313,106.85853921663166
Student_17,-6.289151551408092,106.77818484499495
Student_18,-6.245048713673553,106.9104393961508
Student_19,-6.263610996271577,106.76491012873595
Student_20,-6.291754171960392,106.9473773873201
Student_21,-6.227629421055524,106.90444895385933
Student_22,-6.322101227869592,106.78974313630684
Student_23,-6.291571070292957,106.75110442342472
Student_24,-6.276727631341261,106.91309228569096
Student_25,-6.258786003156593,106.89137146876952
Student_26,-6.192964807721397,106.8958014336082
Student_27,-6.310065243568328,106.90425406933718
Student_28,-6.247153112317278,106.76480893034682
Student_29,-6.2315170862275915,106.82169314570885
Student_30,-6.340709917456,106.77317381190502
Student_31,-6.228491029619712,106.92262068517512
Student_32,-6.315895175262542,106.87465962536551
Student_33,-6.336989681402944,106.81617960497053
Student_34,-6.160222892549334,106.7627116700572
Student_35,-6.156873593385089,106.81219646434313
Student_36,-6.188320530376708,106.81503666440535
Student_37,-6.289077246165326,106.89592123566761
Student_38,-6.330465577198723,106.87751149427105
Student_39,-6.213153394697569,106.92744254851527
Student_40,-6.2619695012520795,106.84444298503239
Student_41,-6.325592353031044,106.77391884918767
Student_42,-6.250964617977746,106.8926489574446
Student_43,-6.343122295776956,106.90215700972338
Student_44,-6.168135919584244,106.8622554395139
Student_45,-6.298244003679996,106.90419343599092
Student_46,-6.217495543129203,106.84875911927288
Student_47,-6.287657784782118,106.8545465658764
Student_48,-6.2459863957644375,106.83550820367171
Student_49,-6.240657944131344,106.75508382534882
Student_50,-6.313029108894894,106.77157828539866
