name,lat,lon
Teacher_1,-6.3437141628626526,106.91148803103282
Teacher_2,-6.222717917747244,106.92921825998471
Teacher_3,-6.287128803784735,106.81360069499438
Teacher_4,-6.24828586176706,106.77201038490554
Teacher_5,-6.168486705214781,106.7955870325084
Teacher_6,-6.300141554170225,106.83542155772525
Teacher_7,-6.267923415392874,106.9136029531845
Teacher_8,-6.19888977229139,106.92214611665128
Teacher_9,-6.304240366901675,106.75139042610624
Teacher_10,-6.334604018034241,106.85214946051552
Teacher_11,-6.292049709417246,106.83348220062976
Teacher_12,-6.317755742549199,106.79442156209414
Teacher_13,-6.164060469531486,106.77397307346673
Teacher_14,-6.188375924087117,106.81752303428073
Teacher_15,-6.223319248697916,106.93858194078251
Teacher_16,-6.175707881962457,106.81464058640415
Teacher_17,-6.189265584620177,106.85375812434867
Teacher_18,-6.312685988222793,106.89060379177904
Teacher_19,-6.171488200302004,106.82272592047586
Teacher_20,-6.24213155161687,106.9443564165442
